A_Index;AnzahlZimmer;Ausbaustufe;Baeder;BaederKG;Baujahr;EG_qm;Garage_qm;Garagen;Gesamteindruck;Keller_Typ_qm;Keller_qm;Kellerhoehe;Kellertyp;Lage;OG_qm;Umgebaut;Verkaufsjahr;Verkaufsmonat;Wohnflaeche_qm;Z_Verkaufspreis
2358;3;1 Ebene;2;1;1992;125;49;2;3;88;116;Gut;Guter Wohnraum;Bezirk 19;0;1992;2021;6;125;187500
266;2;1 Ebene;2;1;2010;170;79;3;3;141;168;Gut;Guter Wohnraum;Bezirk 16;0;2010;2020;7;170;350000
1169;2;1 Ebene;2;0;2015;119;40;2;3;0;119;Gut;Rohbau;Bezirk 18;0;2015;2018;3;119;171750
2564;2;2 Ebenen;3;1;2015;64;40;2;3;48;64;Gut;Guter Wohnraum;Bezirk 18;73;2016;2020;10;138;154000
169;3;1 Ebene;2;0;2021;103;39;2;3;3;103;Gut;Guter Wohnraum;Bezirk 8;0;2021;2022;3;103;213899
435;2;1 Ebene;2;1;1988;89;27;1;4;10;89;Durchschnitt;Mittlerer Wohnraum;Bezirk 17;0;1988;2018;4;89;137500
961;3;1 Ebene;1;1;1988;75;26;1;4;15;75;Durchschnitt;Niedrige Qualität;Bezirk 6;0;1988;2022;2;75;215852
1540;3;2 Ebenen;3;1;2013;70;53;2;3;40;70;Gut;Guter Wohnraum;Bezirk 23;72;2013;2020;9;142;190500
892;3;2 Ebenen;3;1;2011;80;38;2;3;74;78;Gut;Mittlerer Wohnraum;Bezirk 9;65;2012;2019;4;145;180000
5;3;1 Ebene;1;0;1973;97;24;1;3;66;97;Durchschnitt;Guter Wohnraum;Bezirk 15;0;1973;2018;7;97;146000
2557;5;2 Ebenen;2;0;1912;120;47;2;3;0;56;Durchschnitt;Rohbau;Bezirk 20;77;1962;2019;9;198;90000
2398;3;1 Ebene;2;0;1995;91;41;2;3;28;92;Durchschnitt;Mittlerer Wohnraum;Bezirk 14;0;1995;2019;6;91;134000
